datasetKey,datasetTitle
6069bfe1-73bc-4602-a408-f723b56b813e,Hippoboscidae and Nycteribiidae Recording Scheme - records verified via iRecord
2ce65268-cf51-4ecb-bb36-ce615564c255,PondNet data 2012-2014
07f6c820-16ba-49a8-81af-72f7028b6d04,Urban Roots Malls Mire Invertebrate Records 2014
85390b2e-b2dc-451e-aeb0-5ecb8532c033,Mosquito Occurrences in the UK - Review of Literature
c0a22dc6-a92d-420b-a7e5-56e635dd5480,"Moth and butterfly records for sites in Harrow, London by John Hollingdale 2012-2019"
fc355172-2a32-4b83-a0dc-1800ae9f563e,HBRG P.F. Entwistle Colln and Notebooks Dataset
b23f9eb6-2585-4cb5-85c5-5ba39040838f,Casual records for Scottish Wildlife Trust reserves - Unassessed data
9a84e2c6-3f34-46c9-a700-7d2b7c77a799,Ants of Ireland
b6a37bbd-95d2-4c5e-8b9e-3fbefd8bd8cd,Woodmeadow Invertebrate Survey 2016
ca1d84cf-07a4-4e86-ba3a-e157676a6686,Derbyshire Casual LEPIDOPTERA records - Casual records collated by Derby Museum
9d875241-2f83-4e52-be03-57329ec7dbe5,J. B. Wallis / R. E. Roughley Museum of Entomology
480c1dc1-b1bb-4759-96b6-9dc376db1e7d,RSMP Baseline Dataset
61313732-a660-4fdf-9cfb-0d13d4553bbe,iRecord Surveys
efde0b80-02d6-4e50-9e6a-4b4329bfeec6,Records of Invasive Non Native Species held on the Cofnod database
42af43c7-361f-426f-bd5f-33486fcc8855,Glasgow Museums BRC: Carabidae
0f973260-8204-4037-bed5-aa064b1036cd,Woodmeadow Invertebrate Survey 2014
7106ea48-649c-484f-bf99-39837959287c,Dragonfly Records
8092be2b-7d33-4d60-9479-aef3375368bb,Woodmeadow Invertebrate Survey 2018
b2390da7-9704-4215-b038-3727df6e7fee,VectorDistributionStatus
ae0fcc70-dcee-4e26-9a35-eebe0c612d2b,SEWBReC Mayflies and Stoneflies (South East Wales)
57196654-cf6d-424f-8eb7-b30cd6f4d5a8,Charipinae from UK
c40816f6-5146-4f46-83a3-c4cf638ca37e,DBRC Ephemeroptera species records 1975 to 2015
261a16eb-1cd2-4b6b-85c7-ef9a36421bf4,2017 Onwards Rare Invertebrates in the Cairngorms Kentish Glory Survey Data
f3a952cc-b6f4-4e2b-91f7-e2261377c0e8,SNH Invertebrate Site Condition Monitoring 2013/14: Eastern Cairngorms SSSI
4d06d9c0-3c7b-4570-bc7c-35ce74120959,DBRC Trichoptera 1974 - 2015
8f17c1c2-69a8-4490-9d82-466134b81369,Small Acalypterate Families Recording Scheme
a276f5da-12fc-4532-902b-1c5fd5945b44,Glasgow Museums Biological Records Centre: Coleoptera: Oedemeridae
84b18cce-083a-4464-bee8-25b2083a17cd,Natural History Collections of the Faculty of Biology AMU
38e0b5be-be0a-4948-ad2e-fb009652c5b3,New Zealand Arthropod Collection - Symbiota
b48577b4-3ae0-4972-ab1a-9a95d406446d,Sepsidae of Ireland
eceb827a-21d9-4338-b943-6bb0221450ab,Dipterists Forum: Project - Conopidae
b5ddcd68-21b6-4661-9f67-a2dd3f31d6f7,Glen Finglas Species  Records
7e225289-7c61-498a-bbcc-9995685b9abc,Conopidae of Ireland
e87e14f1-76e9-48a1-8378-98cc909eb301,WTSWW Data: All Taxa (West Wales)
